Index,fsr1,fsr2,fsr3,fsr4,Posture,Age,Gender,Weight
258,1566,2258,1336,843,lean_forward,21,Male,65kg
259,1510,2143,1282,927,lean_forward,21,Male,65kg
260,1535,2209,1533,946,lean_forward,21,Male,65kg
261,1456,2137,1295,934,lean_forward,21,Male,65kg
262,1510,2155,1321,924,lean_forward,21,Male,65kg
263,1491,2163,1255,982,lean_forward,21,Male,65kg
264,1531,2182,1360,1056,lean_forward,21,Male,65kg
265,1567,2190,1346,1085,lean_forward,21,Male,65kg
266,1553,2179,1408,993,lean_forward,21,Male,65kg
267,1518,2176,1404,969,lean_forward,21,Male,65kg
268,1519,2183,1391,1022,lean_forward,21,Male,65kg
269,1584,2192,1403,975,lean_forward,21,Male,65kg
270,1563,2160,1387,999,lean_forward,21,Male,65kg
271,1529,2187,1392,976,lean_forward,21,Male,65kg
272,1555,2186,1394,1003,lean_forward,21,Male,65kg
273,1535,2177,1403,1003,lean_forward,21,Male,65kg
274,1555,2176,1405,1002,lean_forward,21,Male,65kg
275,1535,2162,1392,1040,lean_forward,21,Male,65kg
276,1526,2191,1417,1055,lean_forward,21,Male,65kg
277,1607,2176,1421,1071,lean_forward,21,Male,65kg
278,1513,2176,1454,962,lean_forward,21,Male,65kg
279,1605,2178,1450,991,lean_forward,21,Male,65kg
280,1570,2171,1455,931,lean_forward,21,Male,65kg
281,1520,2167,1463,975,lean_forward,21,Male,65kg
282,1582,2182,1472,967,lean_forward,21,Male,65kg
283,1584,2177,1462,960,lean_forward,21,Male,65kg
284,1573,2125,1522,895,lean_forward,21,Male,65kg
285,1581,2167,1487,976,lean_forward,21,Male,65kg
286,1569,2162,1486,1037,lean_forward,21,Male,65kg
287,1583,2144,1495,1090,lean_forward,21,Male,65kg
288,1599,2176,1486,1131,lean_forward,21,Male,65kg
289,1629,2176,1435,896,lean_forward,21,Male,65kg
290,1642,2169,1446,931,lean_forward,21,Male,65kg
291,1637,2175,1460,855,lean_forward,21,Male,65kg
292,1608,2164,1455,855,lean_forward,21,Male,65kg
293,1616,2174,1457,836,lean_forward,21,Male,65kg
294,1614,2149,1459,869,lean_forward,21,Male,65kg
295,1597,2173,1451,901,lean_forward,21,Male,65kg
296,1642,2144,1408,929,lean_forward,21,Male,65kg
297,1629,2161,1297,1002,lean_forward,21,Male,65kg
298,1616,2141,1431,875,lean_forward,21,Male,65kg
299,1598,2161,1442,794,lean_forward,21,Male,65kg
300,1601,2163,1431,723,lean_forward,21,Male,65kg
301,1569,2153,1407,825,lean_forward,21,Male,65kg
302,1535,2129,1419,851,lean_forward,21,Male,65kg
303,1570,2183,1429,894,lean_forward,21,Male,65kg
304,1572,2160,1431,893,lean_forward,21,Male,65kg
305,1569,2143,1439,903,lean_forward,21,Male,65kg
306,1535,2146,1462,887,lean_forward,21,Male,65kg
