Index,fsr1,fsr2,fsr3,fsr4,Posture,Age,Gender,Weight
274,1135,1636,1686,967,lean_forward,21,Male,65kg
275,1104,1643,1694,946,lean_forward,21,Male,65kg
276,1083,1616,1729,954,lean_forward,21,Male,65kg
277,1072,1635,1705,946,lean_forward,21,Male,65kg
278,1073,1630,1744,916,lean_forward,21,Male,65kg
279,1098,1634,1744,913,lean_forward,21,Male,65kg
280,1119,1633,1730,909,lean_forward,21,Male,65kg
281,1089,1645,1738,929,lean_forward,21,Male,65kg
282,1111,1636,1745,913,lean_forward,21,Male,65kg
283,1104,1633,1739,884,lean_forward,21,Male,65kg
284,1110,1631,1754,883,lean_forward,21,Male,65kg
285,1095,1621,1754,853,lean_forward,21,Male,65kg
286,1106,1620,1742,909,lean_forward,21,Male,65kg
287,1125,1631,1747,917,lean_forward,21,Male,65kg
288,1131,1655,1750,939,lean_forward,21,Male,65kg
289,1141,1634,1731,933,lean_forward,21,Male,65kg
290,1110,1635,1754,950,lean_forward,21,Male,65kg
291,1094,1629,1753,954,lean_forward,21,Male,65kg
292,1072,1633,1758,960,lean_forward,21,Male,65kg
293,1073,1630,1765,951,lean_forward,21,Male,65kg
294,1082,1623,1788,960,lean_forward,21,Male,65kg
295,1099,1632,1789,951,lean_forward,21,Male,65kg
296,1136,1631,1805,944,lean_forward,21,Male,65kg
297,1123,1611,1806,960,lean_forward,21,Male,65kg
298,1137,1616,1808,980,lean_forward,21,Male,65kg
299,1153,1622,1803,963,lean_forward,21,Male,65kg
300,1150,1616,1811,963,lean_forward,21,Male,65kg
301,1152,1648,1809,971,lean_forward,21,Male,65kg
302,1161,1613,1752,942,lean_forward,21,Male,65kg
303,1182,1635,1783,960,lean_forward,21,Male,65kg
304,1207,1616,1769,945,lean_forward,21,Male,65kg
305,1207,1611,1787,967,lean_forward,21,Male,65kg
306,1217,1602,1778,937,lean_forward,21,Male,65kg
307,1215,1597,1798,944,lean_forward,21,Male,65kg
308,1214,1602,1793,966,lean_forward,21,Male,65kg
309,1222,1600,1782,943,lean_forward,21,Male,65kg
310,1223,1600,1798,951,lean_forward,21,Male,65kg
311,1232,1597,1798,929,lean_forward,21,Male,65kg
312,1223,1602,1803,947,lean_forward,21,Male,65kg
313,1216,1599,1826,954,lean_forward,21,Male,65kg
314,1201,1604,1810,973,lean_forward,21,Male,65kg
315,1191,1606,1801,981,lean_forward,21,Male,65kg
316,1215,1600,1808,959,lean_forward,21,Male,65kg
317,1206,1604,1801,969,lean_forward,21,Male,65kg
318,1213,1599,1778,959,lean_forward,21,Male,65kg
319,1239,1637,1662,932,lean_forward,21,Male,65kg
320,1226,1611,1703,958,lean_forward,21,Male,65kg
321,1210,1617,1729,930,lean_forward,21,Male,65kg
322,1244,1616,1733,943,lean_forward,21,Male,65kg
323,1253,1602,1753,950,lean_forward,21,Male,65kg
