,fsr1,fsr2,fsr3,fsr4,posture,age,gender,weight
310,2282,527,498,1390,lean_left,21,Male,65kg
311,2267,525,554,1410,lean_left,21,Male,65kg
312,2271,506,592,1431,lean_left,21,Male,65kg
313,2272,250,437,1354,lean_left,21,Male,65kg
314,2308,193,391,1349,lean_left,21,Male,65kg
315,2278,238,370,1324,lean_left,21,Male,65kg
316,2288,350,447,1367,lean_left,21,Male,65kg
317,2288,325,417,1352,lean_left,21,Male,65kg
318,2273,318,394,1333,lean_left,21,Male,65kg
319,2310,349,429,1369,lean_left,21,Male,65kg
320,2320,250,351,1335,lean_left,21,Male,65kg
321,2323,163,140,1231,lean_left,21,Male,65kg
322,2313,164,176,1244,lean_left,21,Male,65kg
323,2312,334,495,1403,lean_left,21,Male,65kg
324,2321,398,566,1443,lean_left,21,Male,65kg
325,2319,290,527,1423,lean_left,21,Male,65kg
326,2320,289,486,1403,lean_left,21,Male,65kg
327,2313,426,633,1473,lean_left,21,Male,65kg
328,2340,343,650,1495,lean_left,21,Male,65kg
329,2323,160,462,1392,lean_left,21,Male,65kg
330,2343,0,39,1191,lean_left,21,Male,65kg
331,2337,0,75,1206,lean_left,21,Male,65kg
332,2347,0,90,1218,lean_left,21,Male,65kg
333,2335,0,130,1232,lean_left,21,Male,65kg
334,2352,73,283,1317,lean_left,21,Male,65kg
335,2352,67,442,1397,lean_left,21,Male,65kg
336,2335,264,495,1415,lean_left,21,Male,65kg
337,2341,336,646,1493,lean_left,21,Male,65kg
338,2311,66,695,1503,lean_left,21,Male,65kg
339,2353,49,582,1467,lean_left,21,Male,65kg
340,2349,48,347,1348,lean_left,21,Male,65kg
341,2352,263,398,1375,lean_left,21,Male,65kg
342,2345,245,469,1407,lean_left,21,Male,65kg
343,2342,251,493,1417,lean_left,21,Male,65kg
344,2354,249,528,1441,lean_left,21,Male,65kg
345,2352,247,558,1455,lean_left,21,Male,65kg
346,2346,209,535,1440,lean_left,21,Male,65kg
347,2369,211,511,1440,lean_left,21,Male,65kg
348,2372,207,399,1385,lean_left,21,Male,65kg
349,2352,223,545,1448,lean_left,21,Male,65kg
350,2343,273,581,1462,lean_left,21,Male,65kg
351,2343,289,656,1499,lean_left,21,Male,65kg
352,2348,354,666,1507,lean_left,21,Male,65kg
353,2309,367,704,1506,lean_left,21,Male,65kg
354,2343,320,710,1526,lean_left,21,Male,65kg
355,2335,304,720,1527,lean_left,21,Male,65kg
356,2350,301,720,1535,lean_left,21,Male,65kg
357,2337,315,715,1526,lean_left,21,Male,65kg
358,2354,301,741,1547,lean_left,21,Male,65kg
359,2345,308,721,1533,lean_left,21,Male,65kg
360,2362,337,831,1596,lean_left,21,Male,65kg
361,2334,330,1052,1693,lean_left,21,Male,65kg
362,2349,395,1061,1705,lean_left,21,Male,65kg
